"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +5.19660588967E+000, +0.00000000000E+000
+1.10000000000E+005, +6.20719217481E+000, +0.00000000000E+000
+1.20000000000E+005, +7.04829566061E+000, +0.00000000000E+000
+1.30000000000E+005, +7.76544043986E+000, +0.00000000000E+000
+1.40000000000E+005, +8.40563166114E+000, +0.00000000000E+000
+1.50000000000E+005, +9.05878357782E+000, +0.00000000000E+000
+1.60000000000E+005, +9.63569816538E+000, +0.00000000000E+000
+1.70000000000E+005, +1.01639960450E+001, +0.00000000000E+000
+1.80000000000E+005, +1.06685094302E+001, +0.00000000000E+000
+1.90000000000E+005, +1.11232759784E+001, +0.00000000000E+000
+2.00000000000E+005, +1.15771795222E+001, +0.00000000000E+000
+2.10000000000E+005, +1.19588645302E+001, +0.00000000000E+000
+2.20000000000E+005, +1.23485616345E+001, +0.00000000000E+000
+2.30000000000E+005, +1.27068393143E+001, +0.00000000000E+000
+2.40000000000E+005, +1.30767771383E+001, +0.00000000000E+000
+2.50000000000E+005, +1.34034014492E+001, +0.00000000000E+000
+2.60000000000E+005, +1.37370098571E+001, +0.00000000000E+000
+2.70000000000E+005, +1.40109580094E+001, +0.00000000000E+000
+2.80000000000E+005, +1.42836357255E+001, +0.00000000000E+000
+2.90000000000E+005, +1.45615438210E+001, +0.00000000000E+000
+3.00000000000E+005, +1.48312555258E+001, +0.00000000000E+000
+3.10000000000E+005, +1.50846892942E+001, +0.00000000000E+000
+3.20000000000E+005, +1.53212397010E+001, +0.00000000000E+000
+3.30000000000E+005, +1.55254197704E+001, +0.00000000000E+000
+3.40000000000E+005, +1.57466100061E+001, +0.00000000000E+000
+3.50000000000E+005, +1.59762436681E+001, +0.00000000000E+000
+3.60000000000E+005, +1.61798173876E+001, +0.00000000000E+000
+3.70000000000E+005, +1.63683120557E+001, +0.00000000000E+000
+3.80000000000E+005, +1.65769924346E+001, +0.00000000000E+000
+3.90000000000E+005, +1.67396904262E+001, +0.00000000000E+000
+4.00000000000E+005, +1.69180495835E+001, +0.00000000000E+000
+4.10000000000E+005, +1.71011189053E+001, +0.00000000000E+000
+4.20000000000E+005, +1.72545447884E+001, +0.00000000000E+000
+4.30000000000E+005, +1.74300434278E+001, +0.00000000000E+000
+4.40000000000E+005, +1.75975750761E+001, +0.00000000000E+000
+4.50000000000E+005, +1.77334094887E+001, +0.00000000000E+000
+4.60000000000E+005, +1.78853807564E+001, +0.00000000000E+000
+4.70000000000E+005, +1.80014567727E+001, +0.00000000000E+000
+4.80000000000E+005, +1.81418818144E+001, +0.00000000000E+000
+4.90000000000E+005, +1.82781048952E+001, +0.00000000000E+000
+5.00000000000E+005, +1.84091362040E+001, +0.00000000000E+000
+5.10000000000E+005, +1.85289566830E+001, +0.00000000000E+000
+5.20000000000E+005, +1.86429013460E+001, +0.00000000000E+000
+5.30000000000E+005, +1.87619016961E+001, +0.00000000000E+000
+5.40000000000E+005, +1.88650501125E+001, +0.00000000000E+000
+5.50000000000E+005, +1.89647767821E+001, +0.00000000000E+000
+5.60000000000E+005, +1.91075087972E+001, +0.00000000000E+000
+5.70000000000E+005, +1.91799266572E+001, +0.00000000000E+000
+5.80000000000E+005, +1.92918866863E+001, +0.00000000000E+000
+5.90000000000E+005, +1.93763045545E+001, +0.00000000000E+000
+6.00000000000E+005, +1.94975649576E+001, +0.00000000000E+000
+6.10000000000E+005, +1.95836946953E+001, +0.00000000000E+000
+6.20000000000E+005, +1.96517870119E+001, +0.00000000000E+000
+6.30000000000E+005, +1.97425331509E+001, +0.00000000000E+000
+6.40000000000E+005, +1.98338991769E+001, +0.00000000000E+000
+6.50000000000E+005, +1.99019789723E+001, +0.00000000000E+000
+6.60000000000E+005, +1.99717771896E+001, +0.00000000000E+000
+6.70000000000E+005, +2.00649523694E+001, +0.00000000000E+000
+6.80000000000E+005, +2.01499558690E+001, +0.00000000000E+000
+6.90000000000E+005, +2.02218171473E+001, +0.00000000000E+000
+7.00000000000E+005, +2.02815803063E+001, +0.00000000000E+000
+7.10000000000E+005, +2.03588591613E+001, +0.00000000000E+000
+7.20000000000E+005, +2.04338511525E+001, +0.00000000000E+000
+7.30000000000E+005, +2.04895362710E+001, +0.00000000000E+000
+7.40000000000E+005, +2.05626427114E+001, +0.00000000000E+000
+7.50000000000E+005, +2.06201217297E+001, +0.00000000000E+000
+7.60000000000E+005, +2.06767045077E+001, +0.00000000000E+000
+7.70000000000E+005, +2.07427158567E+001, +0.00000000000E+000
+7.80000000000E+005, +2.07875323222E+001, +0.00000000000E+000
+7.90000000000E+005, +2.08515045337E+001, +0.00000000000E+000
+8.00000000000E+005, +2.09151297201E+001, +0.00000000000E+000
+8.10000000000E+005, +2.09652022045E+001, +0.00000000000E+000
+8.20000000000E+005, +2.10160257098E+001, +0.00000000000E+000
+8.30000000000E+005, +2.10617854274E+001, +0.00000000000E+000
+8.40000000000E+005, +2.11120055448E+001, +0.00000000000E+000
+8.50000000000E+005, +2.11723677667E+001, +0.00000000000E+000
+8.60000000000E+005, +2.12307443771E+001, +0.00000000000E+000
+8.70000000000E+005, +2.12566755191E+001, +0.00000000000E+000
+8.80000000000E+005, +2.13191133786E+001, +0.00000000000E+000
+8.90000000000E+005, +2.13476167515E+001, +0.00000000000E+000
+9.00000000000E+005, +2.13892100425E+001, +0.00000000000E+000
+9.10000000000E+005, +2.14285628605E+001, +0.00000000000E+000
+9.20000000000E+005, +2.14645326900E+001, +0.00000000000E+000
+9.30000000000E+005, +2.15152658980E+001, +0.00000000000E+000
+9.40000000000E+005, +2.15585102876E+001, +0.00000000000E+000
+9.50000000000E+005, +2.15975530625E+001, +0.00000000000E+000
+9.60000000000E+005, +2.16205299975E+001, +0.00000000000E+000
+9.70000000000E+005, +2.16816801806E+001, +0.00000000000E+000
+9.80000000000E+005, +2.17193756724E+001, +0.00000000000E+000
+9.90000000000E+005, +2.17552214314E+001, +0.00000000000E+000
+1.00000000000E+006, +2.17775688416E+001, +0.00000000000E+000
+1.01000000000E+006, +2.18328146305E+001, +0.00000000000E+000
+1.02000000000E+006, +2.18372270637E+001, +0.00000000000E+000
+1.03000000000E+006, +2.18858449545E+001, +0.00000000000E+000
+1.04000000000E+006, +2.19179508643E+001, +0.00000000000E+000
+1.05000000000E+006, +2.19502705796E+001, +0.00000000000E+000
+1.06000000000E+006, +2.19874016223E+001, +0.00000000000E+000
+1.07000000000E+006, +2.20093549061E+001, +0.00000000000E+000
+1.08000000000E+006, +2.20494668612E+001, +0.00000000000E+000
+1.09000000000E+006, +2.20582610986E+001, +0.00000000000E+000
+1.10000000000E+006, +2.21030787991E+001, +0.00000000000E+000
+1.11000000000E+006, +2.21192859372E+001, +0.00000000000E+000
+1.12000000000E+006, +2.21406172214E+001, +0.00000000000E+000
+1.13000000000E+006, +2.21697120360E+001, +0.00000000000E+000
+1.14000000000E+006, +2.22009267322E+001, +0.00000000000E+000
+1.15000000000E+006, +2.22360589590E+001, +0.00000000000E+000
+1.16000000000E+006, +2.22484011305E+001, +0.00000000000E+000
+1.17000000000E+006, +2.22822808894E+001, +0.00000000000E+000
+1.18000000000E+006, +2.23167224870E+001, +0.00000000000E+000
+1.19000000000E+006, +2.23343395762E+001, +0.00000000000E+000
+1.20000000000E+006, +2.23420402147E+001, +0.00000000000E+000
+1.21000000000E+006, +2.23671911483E+001, +0.00000000000E+000
+1.22000000000E+006, +2.23913202637E+001, +0.00000000000E+000
+1.23000000000E+006, +2.24103052685E+001, +0.00000000000E+000
+1.24000000000E+006, +2.24361880031E+001, +0.00000000000E+000
+1.25000000000E+006, +2.24533756983E+001, +0.00000000000E+000
+1.26000000000E+006, +2.24946415408E+001, +0.00000000000E+000
+1.27000000000E+006, +2.24999452049E+001, +0.00000000000E+000
+1.28000000000E+006, +2.25181481259E+001, +0.00000000000E+000
+1.29000000000E+006, +2.25427367421E+001, +0.00000000000E+000
+1.30000000000E+006, +2.25596885007E+001, +0.00000000000E+000
+1.31000000000E+006, +2.25695079966E+001, +0.00000000000E+000
+1.32000000000E+006, +2.26046085191E+001, +0.00000000000E+000
+1.33000000000E+006, +2.26144195111E+001, +0.00000000000E+000
+1.34000000000E+006, +2.26306701976E+001, +0.00000000000E+000
+1.35000000000E+006, +2.26599624367E+001, +0.00000000000E+000
+1.36000000000E+006, +2.26618140434E+001, +0.00000000000E+000
+1.37000000000E+006, +2.27019740459E+001, +0.00000000000E+000
+1.38000000000E+006, +2.27115437531E+001, +0.00000000000E+000
+1.39000000000E+006, +2.27375882643E+001, +0.00000000000E+000
+1.40000000000E+006, +2.27346472463E+001, +0.00000000000E+000
+1.41000000000E+006, +2.27619251592E+001, +0.00000000000E+000
+1.42000000000E+006, +2.27608703983E+001, +0.00000000000E+000
+1.43000000000E+006, +2.27837536351E+001, +0.00000000000E+000
+1.44000000000E+006, +2.27924101250E+001, +0.00000000000E+000
+1.45000000000E+006, +2.28196738633E+001, +0.00000000000E+000
+1.46000000000E+006, +2.28371584203E+001, +0.00000000000E+000
+1.47000000000E+006, +2.28258240159E+001, +0.00000000000E+000
+1.48000000000E+006, +2.28510627514E+001, +0.00000000000E+000
+1.49000000000E+006, +2.28731299174E+001, +0.00000000000E+000
+1.50000000000E+006, +2.28925622275E+001, +0.00000000000E+000
+1.51000000000E+006, +2.28984399407E+001, +0.00000000000E+000
+1.52000000000E+006, +2.29113438594E+001, +0.00000000000E+000
+1.53000000000E+006, +2.29407147240E+001, +0.00000000000E+000
+1.54000000000E+006, +2.29462592347E+001, +0.00000000000E+000
+1.55000000000E+006, +2.29336819973E+001, +0.00000000000E+000
+1.56000000000E+006, +2.29603211043E+001, +0.00000000000E+000
+1.57000000000E+006, +2.29624193174E+001, +0.00000000000E+000
+1.58000000000E+006, +2.29763802046E+001, +0.00000000000E+000
+1.59000000000E+006, +2.29976048958E+001, +0.00000000000E+000
+1.60000000000E+006, +2.30101422551E+001, +0.00000000000E+000
+1.61000000000E+006, +2.30244821472E+001, +0.00000000000E+000
+1.62000000000E+006, +2.30409068979E+001, +0.00000000000E+000
+1.63000000000E+006, +2.30536960422E+001, +0.00000000000E+000
+1.64000000000E+006, +2.30693787454E+001, +0.00000000000E+000
+1.65000000000E+006, +2.30755110645E+001, +0.00000000000E+000
+1.66000000000E+006, +2.30628496783E+001, +0.00000000000E+000
+1.67000000000E+006, +2.30891857829E+001, +0.00000000000E+000
+1.68000000000E+006, +2.30889746795E+001, +0.00000000000E+000
+1.69000000000E+006, +2.30959108873E+001, +0.00000000000E+000
+1.70000000000E+006, +2.31108075303E+001, +0.00000000000E+000
+1.71000000000E+006, +2.31235262874E+001, +0.00000000000E+000
+1.72000000000E+006, +2.31186921307E+001, +0.00000000000E+000
+1.73000000000E+006, +2.31351524604E+001, +0.00000000000E+000
+1.74000000000E+006, +2.31517878430E+001, +0.00000000000E+000
+1.75000000000E+006, +2.31396335049E+001, +0.00000000000E+000
+1.76000000000E+006, +2.31602650997E+001, +0.00000000000E+000
+1.77000000000E+006, +2.31528552584E+001, +0.00000000000E+000
+1.78000000000E+006, +2.31639110932E+001, +0.00000000000E+000
+1.79000000000E+006, +2.31463277654E+001, +0.00000000000E+000
+1.80000000000E+006, +2.31357888290E+001, +0.00000000000E+000
