"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +5.09320133635E+000, +0.00000000000E+000
+1.10000000000E+005, +6.04062324436E+000, +0.00000000000E+000
+1.20000000000E+005, +6.88147979686E+000, +0.00000000000E+000
+1.30000000000E+005, +7.61911807257E+000, +0.00000000000E+000
+1.40000000000E+005, +8.31300540624E+000, +0.00000000000E+000
+1.50000000000E+005, +8.93439447253E+000, +0.00000000000E+000
+1.60000000000E+005, +9.51943411056E+000, +0.00000000000E+000
+1.70000000000E+005, +1.00270207454E+001, +0.00000000000E+000
+1.80000000000E+005, +1.05157998097E+001, +0.00000000000E+000
+1.90000000000E+005, +1.10196208727E+001, +0.00000000000E+000
+2.00000000000E+005, +1.14233798323E+001, +0.00000000000E+000
+2.10000000000E+005, +1.18403445718E+001, +0.00000000000E+000
+2.20000000000E+005, +1.22400079115E+001, +0.00000000000E+000
+2.30000000000E+005, +1.26038699109E+001, +0.00000000000E+000
+2.40000000000E+005, +1.29516932691E+001, +0.00000000000E+000
+2.50000000000E+005, +1.32710859965E+001, +0.00000000000E+000
+2.60000000000E+005, +1.35985659586E+001, +0.00000000000E+000
+2.70000000000E+005, +1.38823911646E+001, +0.00000000000E+000
+2.80000000000E+005, +1.41979063731E+001, +0.00000000000E+000
+2.90000000000E+005, +1.44646733296E+001, +0.00000000000E+000
+3.00000000000E+005, +1.47233424595E+001, +0.00000000000E+000
+3.10000000000E+005, +1.49508384800E+001, +0.00000000000E+000
+3.20000000000E+005, +1.51977462550E+001, +0.00000000000E+000
+3.30000000000E+005, +1.54283082882E+001, +0.00000000000E+000
+3.40000000000E+005, +1.56699124845E+001, +0.00000000000E+000
+3.50000000000E+005, +1.58745548826E+001, +0.00000000000E+000
+3.60000000000E+005, +1.60907841766E+001, +0.00000000000E+000
+3.70000000000E+005, +1.62725396450E+001, +0.00000000000E+000
+3.80000000000E+005, +1.64863580117E+001, +0.00000000000E+000
+3.90000000000E+005, +1.66764917412E+001, +0.00000000000E+000
+4.00000000000E+005, +1.68140632609E+001, +0.00000000000E+000
+4.10000000000E+005, +1.70102120022E+001, +0.00000000000E+000
+4.20000000000E+005, +1.71684672114E+001, +0.00000000000E+000
+4.30000000000E+005, +1.73330774351E+001, +0.00000000000E+000
+4.40000000000E+005, +1.74711715199E+001, +0.00000000000E+000
+4.50000000000E+005, +1.76351292515E+001, +0.00000000000E+000
+4.60000000000E+005, +1.77775435591E+001, +0.00000000000E+000
+4.70000000000E+005, +1.79215613891E+001, +0.00000000000E+000
+4.80000000000E+005, +1.80535903206E+001, +0.00000000000E+000
+4.90000000000E+005, +1.81918574507E+001, +0.00000000000E+000
+5.00000000000E+005, +1.83113877177E+001, +0.00000000000E+000
+5.10000000000E+005, +1.84449967176E+001, +0.00000000000E+000
+5.20000000000E+005, +1.85627228688E+001, +0.00000000000E+000
+5.30000000000E+005, +1.86754759840E+001, +0.00000000000E+000
+5.40000000000E+005, +1.87874816161E+001, +0.00000000000E+000
+5.50000000000E+005, +1.89037451282E+001, +0.00000000000E+000
+5.60000000000E+005, +1.90122328860E+001, +0.00000000000E+000
+5.70000000000E+005, +1.91236502073E+001, +0.00000000000E+000
+5.80000000000E+005, +1.92210819975E+001, +0.00000000000E+000
+5.90000000000E+005, +1.93123699628E+001, +0.00000000000E+000
+6.00000000000E+005, +1.94028314509E+001, +0.00000000000E+000
+6.10000000000E+005, +1.94994725106E+001, +0.00000000000E+000
+6.20000000000E+005, +1.95904934514E+001, +0.00000000000E+000
+6.30000000000E+005, +1.96602497734E+001, +0.00000000000E+000
+6.40000000000E+005, +1.97688002532E+001, +0.00000000000E+000
+6.50000000000E+005, +1.98367738215E+001, +0.00000000000E+000
+6.60000000000E+005, +1.99357630639E+001, +0.00000000000E+000
+6.70000000000E+005, +2.00138060523E+001, +0.00000000000E+000
+6.80000000000E+005, +2.00780963939E+001, +0.00000000000E+000
+6.90000000000E+005, +2.01412630695E+001, +0.00000000000E+000
+7.00000000000E+005, +2.02455172702E+001, +0.00000000000E+000
+7.10000000000E+005, +2.02856566583E+001, +0.00000000000E+000
+7.20000000000E+005, +2.03626554874E+001, +0.00000000000E+000
+7.30000000000E+005, +2.04219840566E+001, +0.00000000000E+000
+7.40000000000E+005, +2.04973241674E+001, +0.00000000000E+000
+7.50000000000E+005, +2.05617835268E+001, +0.00000000000E+000
+7.60000000000E+005, +2.06236917077E+001, +0.00000000000E+000
+7.70000000000E+005, +2.06884167944E+001, +0.00000000000E+000
+7.80000000000E+005, +2.07420545126E+001, +0.00000000000E+000
+7.90000000000E+005, +2.08100589341E+001, +0.00000000000E+000
+8.00000000000E+005, +2.08494537631E+001, +0.00000000000E+000
+8.10000000000E+005, +2.09199439083E+001, +0.00000000000E+000
+8.20000000000E+005, +2.09581518713E+001, +0.00000000000E+000
+8.30000000000E+005, +2.10192719265E+001, +0.00000000000E+000
+8.40000000000E+005, +2.10717918064E+001, +0.00000000000E+000
+8.50000000000E+005, +2.11208488442E+001, +0.00000000000E+000
+8.60000000000E+005, +2.11586818117E+001, +0.00000000000E+000
+8.70000000000E+005, +2.12207153560E+001, +0.00000000000E+000
+8.80000000000E+005, +2.12730359105E+001, +0.00000000000E+000
+8.90000000000E+005, +2.13184211018E+001, +0.00000000000E+000
+9.00000000000E+005, +2.13554608503E+001, +0.00000000000E+000
+9.10000000000E+005, +2.14067768641E+001, +0.00000000000E+000
+9.20000000000E+005, +2.14248138521E+001, +0.00000000000E+000
+9.30000000000E+005, +2.14847246388E+001, +0.00000000000E+000
+9.40000000000E+005, +2.15309779051E+001, +0.00000000000E+000
+9.50000000000E+005, +2.15709943983E+001, +0.00000000000E+000
+9.60000000000E+005, +2.16033918797E+001, +0.00000000000E+000
+9.70000000000E+005, +2.16442146923E+001, +0.00000000000E+000
+9.80000000000E+005, +2.16613742624E+001, +0.00000000000E+000
+9.90000000000E+005, +2.17134359436E+001, +0.00000000000E+000
+1.00000000000E+006, +2.17404970731E+001, +0.00000000000E+000
+1.01000000000E+006, +2.17840049873E+001, +0.00000000000E+000
