"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.17608127312E+001, +0.00000000000E+000
+2.00000000000E+006, +2.33383916790E+001, +0.00000000000E+000
+3.00000000000E+006, +2.37121156727E+001, +0.00000000000E+000
+4.00000000000E+006, +2.38584730858E+001, +0.00000000000E+000
+5.00000000000E+006, +2.38760244270E+001, +0.00000000000E+000
+6.00000000000E+006, +2.38481973840E+001, +0.00000000000E+000
+7.00000000000E+006, +2.38392778815E+001, +0.00000000000E+000
+8.00000000000E+006, +2.37788959521E+001, +0.00000000000E+000
+9.00000000000E+006, +2.37371897495E+001, +0.00000000000E+000
+1.00000000000E+007, +2.36763379079E+001, +0.00000000000E+000
+1.10000000000E+007, +2.36269576263E+001, +0.00000000000E+000
+1.20000000000E+007, +2.35783179900E+001, +0.00000000000E+000
+1.30000000000E+007, +2.35152494669E+001, +0.00000000000E+000
+1.40000000000E+007, +2.34673322663E+001, +0.00000000000E+000
+1.50000000000E+007, +2.33905455505E+001, +0.00000000000E+000
+1.60000000000E+007, +2.33357240535E+001, +0.00000000000E+000
+1.70000000000E+007, +2.32894605158E+001, +0.00000000000E+000
+1.80000000000E+007, +2.32270669154E+001, +0.00000000000E+000
+1.90000000000E+007, +2.31794406644E+001, +0.00000000000E+000
+2.00000000000E+007, +2.30951342919E+001, +0.00000000000E+000
+2.10000000000E+007, +2.30416326514E+001, +0.00000000000E+000
+2.20000000000E+007, +2.29879499074E+001, +0.00000000000E+000
+2.30000000000E+007, +2.29362044190E+001, +0.00000000000E+000
+2.40000000000E+007, +2.28952482745E+001, +0.00000000000E+000
+2.50000000000E+007, +2.28600877378E+001, +0.00000000000E+000
+2.60000000000E+007, +2.28051909200E+001, +0.00000000000E+000
+2.70000000000E+007, +2.27688425887E+001, +0.00000000000E+000
+2.80000000000E+007, +2.27132732366E+001, +0.00000000000E+000
+2.90000000000E+007, +2.26754311800E+001, +0.00000000000E+000
+3.00000000000E+007, +2.26385485292E+001, +0.00000000000E+000
+3.10000000000E+007, +2.25962906724E+001, +0.00000000000E+000
+3.20000000000E+007, +2.25666076371E+001, +0.00000000000E+000
+3.30000000000E+007, +2.25058600576E+001, +0.00000000000E+000
+3.40000000000E+007, +2.24833437703E+001, +0.00000000000E+000
+3.50000000000E+007, +2.24504601117E+001, +0.00000000000E+000
+3.60000000000E+007, +2.24341149838E+001, +0.00000000000E+000
+3.70000000000E+007, +2.24089481850E+001, +0.00000000000E+000
+3.80000000000E+007, +2.23743733376E+001, +0.00000000000E+000
+3.90000000000E+007, +2.23610687865E+001, +0.00000000000E+000
+4.00000000000E+007, +2.23525337835E+001, +0.00000000000E+000
+4.10000000000E+007, +2.23282055735E+001, +0.00000000000E+000
+4.20000000000E+007, +2.23065112905E+001, +0.00000000000E+000
+4.30000000000E+007, +2.22945206140E+001, +0.00000000000E+000
+4.40000000000E+007, +2.22749166870E+001, +0.00000000000E+000
+4.50000000000E+007, +2.22630721612E+001, +0.00000000000E+000
+4.60000000000E+007, +2.22485350277E+001, +0.00000000000E+000
+4.70000000000E+007, +2.22439522532E+001, +0.00000000000E+000
+4.80000000000E+007, +2.22342759058E+001, +0.00000000000E+000
+4.90000000000E+007, +2.22185761498E+001, +0.00000000000E+000
+5.00000000000E+007, +2.22048711350E+001, +0.00000000000E+000
+5.10000000000E+007, +2.21916123648E+001, +0.00000000000E+000
+5.20000000000E+007, +2.21895252290E+001, +0.00000000000E+000
+5.30000000000E+007, +2.21843681646E+001, +0.00000000000E+000
+5.40000000000E+007, +2.21705316855E+001, +0.00000000000E+000
+5.50000000000E+007, +2.21659780693E+001, +0.00000000000E+000
+5.60000000000E+007, +2.21403219841E+001, +0.00000000000E+000
+5.70000000000E+007, +2.21301198914E+001, +0.00000000000E+000
+5.80000000000E+007, +2.21242913694E+001, +0.00000000000E+000
+5.90000000000E+007, +2.21188663864E+001, +0.00000000000E+000
+6.00000000000E+007, +2.21099401533E+001, +0.00000000000E+000
+6.10000000000E+007, +2.20998985384E+001, +0.00000000000E+000
+6.20000000000E+007, +2.20931525414E+001, +0.00000000000E+000
+6.30000000000E+007, +2.20779155958E+001, +0.00000000000E+000
+6.40000000000E+007, +2.20706619009E+001, +0.00000000000E+000
+6.50000000000E+007, +2.20514677653E+001, +0.00000000000E+000
+6.60000000000E+007, +2.20308908580E+001, +0.00000000000E+000
+6.70000000000E+007, +2.20187793981E+001, +0.00000000000E+000
+6.80000000000E+007, +2.20191594470E+001, +0.00000000000E+000
+6.90000000000E+007, +2.19973057119E+001, +0.00000000000E+000
+7.00000000000E+007, +2.19773783828E+001, +0.00000000000E+000
+7.10000000000E+007, +2.19758025341E+001, +0.00000000000E+000
+7.20000000000E+007, +2.19618021608E+001, +0.00000000000E+000
+7.30000000000E+007, +2.19465031996E+001, +0.00000000000E+000
+7.40000000000E+007, +2.19279666643E+001, +0.00000000000E+000
+7.50000000000E+007, +2.19348980952E+001, +0.00000000000E+000
+7.60000000000E+007, +2.19149136664E+001, +0.00000000000E+000
+7.70000000000E+007, +2.18885561793E+001, +0.00000000000E+000
+7.80000000000E+007, +2.18906224221E+001, +0.00000000000E+000
+7.90000000000E+007, +2.18936036286E+001, +0.00000000000E+000
+8.00000000000E+007, +2.18704366176E+001, +0.00000000000E+000
+8.10000000000E+007, +2.18714855287E+001, +0.00000000000E+000
+8.20000000000E+007, +2.18412454202E+001, +0.00000000000E+000
+8.30000000000E+007, +2.18456627558E+001, +0.00000000000E+000
+8.40000000000E+007, +2.18424011710E+001, +0.00000000000E+000
+8.50000000000E+007, +2.18412514610E+001, +0.00000000000E+000
+8.60000000000E+007, +2.18286349980E+001, +0.00000000000E+000
+8.70000000000E+007, +2.18355626005E+001, +0.00000000000E+000
+8.80000000000E+007, +2.18128416558E+001, +0.00000000000E+000
+8.90000000000E+007, +2.18168690987E+001, +0.00000000000E+000
+9.00000000000E+007, +2.18074209326E+001, +0.00000000000E+000
+9.10000000000E+007, +2.18024230142E+001, +0.00000000000E+000
+9.20000000000E+007, +2.17965897029E+001, +0.00000000000E+000
+9.30000000000E+007, +2.18069654548E+001, +0.00000000000E+000
+9.40000000000E+007, +2.17925999943E+001, +0.00000000000E+000
+9.50000000000E+007, +2.18037303476E+001, +0.00000000000E+000
+9.60000000000E+007, +2.17989269090E+001, +0.00000000000E+000
+9.70000000000E+007, +2.18042294230E+001, +0.00000000000E+000
+9.80000000000E+007, +2.18126067708E+001, +0.00000000000E+000
+9.90000000000E+007, +2.18073996854E+001, +0.00000000000E+000
+1.00000000000E+008, +2.17972841116E+001, +0.00000000000E+000
+1.01000000000E+008, +2.18087359841E+001, +0.00000000000E+000
+1.02000000000E+008, +2.18037494503E+001, +0.00000000000E+000
+1.03000000000E+008, +2.18078332454E+001, +0.00000000000E+000
+1.04000000000E+008, +2.18107493893E+001, +0.00000000000E+000
+1.05000000000E+008, +2.18164978047E+001, +0.00000000000E+000
+1.06000000000E+008, +2.18160364037E+001, +0.00000000000E+000
+1.07000000000E+008, +2.18000414118E+001, +0.00000000000E+000
+1.08000000000E+008, +2.18059082715E+001, +0.00000000000E+000
+1.09000000000E+008, +2.17987119900E+001, +0.00000000000E+000
+1.10000000000E+008, +2.18116104215E+001, +0.00000000000E+000
+1.11000000000E+008, +2.17989886832E+001, +0.00000000000E+000
+1.12000000000E+008, +2.17951748620E+001, +0.00000000000E+000
+1.13000000000E+008, +2.17919016473E+001, +0.00000000000E+000
+1.14000000000E+008, +2.17904571689E+001, +0.00000000000E+000
+1.15000000000E+008, +2.17755037184E+001, +0.00000000000E+000
+1.16000000000E+008, +2.17719363848E+001, +0.00000000000E+000
+1.17000000000E+008, +2.17726241392E+001, +0.00000000000E+000
+1.18000000000E+008, +2.17533448844E+001, +0.00000000000E+000
+1.19000000000E+008, +2.17495784872E+001, +0.00000000000E+000
+1.20000000000E+008, +2.17342410656E+001, +0.00000000000E+000
+1.21000000000E+008, +2.17196181623E+001, +0.00000000000E+000
+1.22000000000E+008, +2.17118850284E+001, +0.00000000000E+000
+1.23000000000E+008, +2.16940895244E+001, +0.00000000000E+000
+1.24000000000E+008, +2.16841298268E+001, +0.00000000000E+000
+1.25000000000E+008, +2.16618695436E+001, +0.00000000000E+000
+1.26000000000E+008, +2.16565687182E+001, +0.00000000000E+000
+1.27000000000E+008, +2.16491641486E+001, +0.00000000000E+000
+1.28000000000E+008, +2.16277313860E+001, +0.00000000000E+000
+1.29000000000E+008, +2.16103936760E+001, +0.00000000000E+000
+1.30000000000E+008, +2.16043060417E+001, +0.00000000000E+000
+1.31000000000E+008, +2.15862854418E+001, +0.00000000000E+000
+1.32000000000E+008, +2.15703929086E+001, +0.00000000000E+000
+1.33000000000E+008, +2.15646383166E+001, +0.00000000000E+000
+1.34000000000E+008, +2.15473968869E+001, +0.00000000000E+000
+1.35000000000E+008, +2.15462544283E+001, +0.00000000000E+000
+1.36000000000E+008, +2.15302545581E+001, +0.00000000000E+000
+1.37000000000E+008, +2.15230751865E+001, +0.00000000000E+000
+1.38000000000E+008, +2.15225891101E+001, +0.00000000000E+000
+1.39000000000E+008, +2.15114570591E+001, +0.00000000000E+000
+1.40000000000E+008, +2.15069783608E+001, +0.00000000000E+000
+1.41000000000E+008, +2.14918987180E+001, +0.00000000000E+000
+1.42000000000E+008, +2.14980517102E+001, +0.00000000000E+000
+1.43000000000E+008, +2.14982655305E+001, +0.00000000000E+000
+1.44000000000E+008, +2.14937572199E+001, +0.00000000000E+000
+1.45000000000E+008, +2.14850304004E+001, +0.00000000000E+000
+1.46000000000E+008, +2.14850787068E+001, +0.00000000000E+000
+1.47000000000E+008, +2.14854568919E+001, +0.00000000000E+000
