"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +2.49628702857E+001, +0.00000000000E+000
+1.10000000000E+005, +2.49935779244E+001, +0.00000000000E+000
+1.20000000000E+005, +2.50136923457E+001, +0.00000000000E+000
+1.30000000000E+005, +2.50193642511E+001, +0.00000000000E+000
+1.40000000000E+005, +2.50048674231E+001, +0.00000000000E+000
+1.50000000000E+005, +2.50092481709E+001, +0.00000000000E+000
+1.60000000000E+005, +2.50156181426E+001, +0.00000000000E+000
+1.70000000000E+005, +2.50264674229E+001, +0.00000000000E+000
+1.80000000000E+005, +2.50085896459E+001, +0.00000000000E+000
+1.90000000000E+005, +2.50152859376E+001, +0.00000000000E+000
+2.00000000000E+005, +2.50313907605E+001, +0.00000000000E+000
+2.10000000000E+005, +2.50167509651E+001, +0.00000000000E+000
+2.20000000000E+005, +2.49975907729E+001, +0.00000000000E+000
+2.30000000000E+005, +2.50006485461E+001, +0.00000000000E+000
+2.40000000000E+005, +2.50096156173E+001, +0.00000000000E+000
+2.50000000000E+005, +2.49837375115E+001, +0.00000000000E+000
+2.60000000000E+005, +2.49632682992E+001, +0.00000000000E+000
+2.70000000000E+005, +2.49955147714E+001, +0.00000000000E+000
+2.80000000000E+005, +2.49739368324E+001, +0.00000000000E+000
+2.90000000000E+005, +2.49604047025E+001, +0.00000000000E+000
+3.00000000000E+005, +2.49787996922E+001, +0.00000000000E+000
+3.10000000000E+005, +2.49547163522E+001, +0.00000000000E+000
+3.20000000000E+005, +2.49564392488E+001, +0.00000000000E+000
+3.30000000000E+005, +2.49803536430E+001, +0.00000000000E+000
+3.40000000000E+005, +2.49571779265E+001, +0.00000000000E+000
+3.50000000000E+005, +2.49570747693E+001, +0.00000000000E+000
+3.60000000000E+005, +2.49489797688E+001, +0.00000000000E+000
+3.70000000000E+005, +2.49471853359E+001, +0.00000000000E+000
+3.80000000000E+005, +2.49592046313E+001, +0.00000000000E+000
+3.90000000000E+005, +2.49653168809E+001, +0.00000000000E+000
+4.00000000000E+005, +2.49731288738E+001, +0.00000000000E+000
+4.10000000000E+005, +2.49486431643E+001, +0.00000000000E+000
+4.20000000000E+005, +2.49768145780E+001, +0.00000000000E+000
+4.30000000000E+005, +2.49485280792E+001, +0.00000000000E+000
+4.40000000000E+005, +2.49444159064E+001, +0.00000000000E+000
