"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.49587931370E+001, +0.00000000000E+000
+2.00000000000E+006, +2.49167060631E+001, +0.00000000000E+000
+3.00000000000E+006, +2.49049262750E+001, +0.00000000000E+000
+4.00000000000E+006, +2.49296670288E+001, +0.00000000000E+000
+5.00000000000E+006, +2.49208693134E+001, +0.00000000000E+000
+6.00000000000E+006, +2.49332690036E+001, +0.00000000000E+000
+7.00000000000E+006, +2.49607700253E+001, +0.00000000000E+000
+8.00000000000E+006, +2.49459262498E+001, +0.00000000000E+000
+9.00000000000E+006, +2.49410224403E+001, +0.00000000000E+000
+1.00000000000E+007, +2.49838032609E+001, +0.00000000000E+000
+1.10000000000E+007, +2.49964351142E+001, +0.00000000000E+000
+1.20000000000E+007, +2.49527946844E+001, +0.00000000000E+000
+1.30000000000E+007, +2.50193298918E+001, +0.00000000000E+000
+1.40000000000E+007, +2.49918370152E+001, +0.00000000000E+000
+1.50000000000E+007, +2.49411355081E+001, +0.00000000000E+000
+1.60000000000E+007, +2.50132899736E+001, +0.00000000000E+000
+1.70000000000E+007, +2.49874831110E+001, +0.00000000000E+000
+1.80000000000E+007, +2.49240286242E+001, +0.00000000000E+000
+1.90000000000E+007, +2.50024407059E+001, +0.00000000000E+000
+2.00000000000E+007, +2.49706154826E+001, +0.00000000000E+000
+2.10000000000E+007, +2.49314396651E+001, +0.00000000000E+000
+2.20000000000E+007, +2.49907815061E+001, +0.00000000000E+000
+2.30000000000E+007, +2.50076098597E+001, +0.00000000000E+000
+2.40000000000E+007, +2.50096039831E+001, +0.00000000000E+000
+2.50000000000E+007, +2.50254214602E+001, +0.00000000000E+000
+2.60000000000E+007, +2.50273676896E+001, +0.00000000000E+000
+2.70000000000E+007, +2.50372208343E+001, +0.00000000000E+000
+2.80000000000E+007, +2.50259410916E+001, +0.00000000000E+000
+2.90000000000E+007, +2.50297740580E+001, +0.00000000000E+000
+3.00000000000E+007, +2.50316363101E+001, +0.00000000000E+000
+3.10000000000E+007, +2.50033009793E+001, +0.00000000000E+000
+3.20000000000E+007, +2.49844950210E+001, +0.00000000000E+000
+3.30000000000E+007, +2.49752869556E+001, +0.00000000000E+000
+3.40000000000E+007, +2.49465446559E+001, +0.00000000000E+000
+3.50000000000E+007, +2.49369825293E+001, +0.00000000000E+000
+3.60000000000E+007, +2.49351491616E+001, +0.00000000000E+000
+3.70000000000E+007, +2.49377304113E+001, +0.00000000000E+000
+3.80000000000E+007, +2.49378907891E+001, +0.00000000000E+000
+3.90000000000E+007, +2.49219561671E+001, +0.00000000000E+000
+4.00000000000E+007, +2.49137018620E+001, +0.00000000000E+000
+4.10000000000E+007, +2.49133013838E+001, +0.00000000000E+000
+4.20000000000E+007, +2.48918673268E+001, +0.00000000000E+000
+4.30000000000E+007, +2.48843304401E+001, +0.00000000000E+000
+4.40000000000E+007, +2.48721475883E+001, +0.00000000000E+000
+4.50000000000E+007, +2.48678098571E+001, +0.00000000000E+000
+4.60000000000E+007, +2.48568166016E+001, +0.00000000000E+000
+4.70000000000E+007, +2.48732912127E+001, +0.00000000000E+000
+4.80000000000E+007, +2.48555314392E+001, +0.00000000000E+000
+4.90000000000E+007, +2.48423745647E+001, +0.00000000000E+000
+5.00000000000E+007, +2.48544495545E+001, +0.00000000000E+000
+5.10000000000E+007, +2.48453483134E+001, +0.00000000000E+000
+5.20000000000E+007, +2.48282298654E+001, +0.00000000000E+000
+5.30000000000E+007, +2.48390192397E+001, +0.00000000000E+000
+5.40000000000E+007, +2.48274002049E+001, +0.00000000000E+000
+5.50000000000E+007, +2.48282176990E+001, +0.00000000000E+000
+5.60000000000E+007, +2.48391675034E+001, +0.00000000000E+000
+5.70000000000E+007, +2.48319360174E+001, +0.00000000000E+000
+5.80000000000E+007, +2.48395590303E+001, +0.00000000000E+000
+5.90000000000E+007, +2.48480736354E+001, +0.00000000000E+000
+6.00000000000E+007, +2.48488794458E+001, +0.00000000000E+000
+6.10000000000E+007, +2.48286387482E+001, +0.00000000000E+000
+6.20000000000E+007, +2.48404962309E+001, +0.00000000000E+000
+6.30000000000E+007, +2.48259371158E+001, +0.00000000000E+000
+6.40000000000E+007, +2.48450144519E+001, +0.00000000000E+000
+6.50000000000E+007, +2.48370477643E+001, +0.00000000000E+000
+6.60000000000E+007, +2.48587305201E+001, +0.00000000000E+000
+6.70000000000E+007, +2.48507287172E+001, +0.00000000000E+000
+6.80000000000E+007, +2.48583552873E+001, +0.00000000000E+000
+6.90000000000E+007, +2.47837965532E+001, +0.00000000000E+000
+7.00000000000E+007, +2.47741397099E+001, +0.00000000000E+000
+7.10000000000E+007, +2.47632698921E+001, +0.00000000000E+000
+7.20000000000E+007, +2.47824913929E+001, +0.00000000000E+000
+7.30000000000E+007, +2.47607410340E+001, +0.00000000000E+000
+7.40000000000E+007, +2.47866010805E+001, +0.00000000000E+000
+7.50000000000E+007, +2.47898346378E+001, +0.00000000000E+000
+7.60000000000E+007, +2.47846036921E+001, +0.00000000000E+000
+7.70000000000E+007, +2.47928776807E+001, +0.00000000000E+000
+7.80000000000E+007, +2.47988980832E+001, +0.00000000000E+000
+7.90000000000E+007, +2.47941055432E+001, +0.00000000000E+000
+8.00000000000E+007, +2.47845686110E+001, +0.00000000000E+000
+8.10000000000E+007, +2.47823814063E+001, +0.00000000000E+000
+8.20000000000E+007, +2.47891575869E+001, +0.00000000000E+000
+8.30000000000E+007, +2.47986368169E+001, +0.00000000000E+000
+8.40000000000E+007, +2.47919753420E+001, +0.00000000000E+000
+8.50000000000E+007, +2.47897722288E+001, +0.00000000000E+000
+8.60000000000E+007, +2.47971113236E+001, +0.00000000000E+000
+8.70000000000E+007, +2.47991134539E+001, +0.00000000000E+000
+8.80000000000E+007, +2.47969170789E+001, +0.00000000000E+000
+8.90000000000E+007, +2.48013125748E+001, +0.00000000000E+000
+9.00000000000E+007, +2.48008757393E+001, +0.00000000000E+000
+9.10000000000E+007, +2.48106008909E+001, +0.00000000000E+000
+9.20000000000E+007, +2.47932677785E+001, +0.00000000000E+000
+9.30000000000E+007, +2.48063716190E+001, +0.00000000000E+000
+9.40000000000E+007, +2.48157575734E+001, +0.00000000000E+000
+9.50000000000E+007, +2.48028261096E+001, +0.00000000000E+000
+9.60000000000E+007, +2.47919129705E+001, +0.00000000000E+000
+9.70000000000E+007, +2.47908603553E+001, +0.00000000000E+000
+9.80000000000E+007, +2.47779982719E+001, +0.00000000000E+000
+9.90000000000E+007, +2.47941264490E+001, +0.00000000000E+000
+1.00000000000E+008, +2.47698329280E+001, +0.00000000000E+000
+1.01000000000E+008, +2.47773446882E+001, +0.00000000000E+000
+1.02000000000E+008, +2.47736455439E+001, +0.00000000000E+000
+1.03000000000E+008, +2.47777203043E+001, +0.00000000000E+000
+1.04000000000E+008, +2.47791910651E+001, +0.00000000000E+000
+1.05000000000E+008, +2.47731921418E+001, +0.00000000000E+000
+1.06000000000E+008, +2.47771728569E+001, +0.00000000000E+000
+1.07000000000E+008, +2.47494843907E+001, +0.00000000000E+000
+1.08000000000E+008, +2.47523809108E+001, +0.00000000000E+000
+1.09000000000E+008, +2.47602328647E+001, +0.00000000000E+000
+1.10000000000E+008, +2.47372168169E+001, +0.00000000000E+000
+1.11000000000E+008, +2.47338155278E+001, +0.00000000000E+000
+1.12000000000E+008, +2.47285098157E+001, +0.00000000000E+000
+1.13000000000E+008, +2.47183395677E+001, +0.00000000000E+000
+1.14000000000E+008, +2.47207288497E+001, +0.00000000000E+000
+1.15000000000E+008, +2.47040574381E+001, +0.00000000000E+000
+1.16000000000E+008, +2.47218136377E+001, +0.00000000000E+000
+1.17000000000E+008, +2.46957598233E+001, +0.00000000000E+000
+1.18000000000E+008, +2.47092261199E+001, +0.00000000000E+000
+1.19000000000E+008, +2.47049918407E+001, +0.00000000000E+000
+1.20000000000E+008, +2.46936870337E+001, +0.00000000000E+000
+1.21000000000E+008, +2.47005333287E+001, +0.00000000000E+000
+1.22000000000E+008, +2.46820109501E+001, +0.00000000000E+000
+1.23000000000E+008, +2.46851654439E+001, +0.00000000000E+000
+1.24000000000E+008, +2.46840952961E+001, +0.00000000000E+000
+1.25000000000E+008, +2.46812643618E+001, +0.00000000000E+000
+1.26000000000E+008, +2.46739828911E+001, +0.00000000000E+000
+1.27000000000E+008, +2.46713033016E+001, +0.00000000000E+000
+1.28000000000E+008, +2.46643264071E+001, +0.00000000000E+000
+1.29000000000E+008, +2.46670287012E+001, +0.00000000000E+000
+1.30000000000E+008, +2.46747174058E+001, +0.00000000000E+000
+1.31000000000E+008, +2.46713603088E+001, +0.00000000000E+000
+1.32000000000E+008, +2.47024865494E+001, +0.00000000000E+000
+1.33000000000E+008, +2.46764933818E+001, +0.00000000000E+000
+1.34000000000E+008, +2.46837851900E+001, +0.00000000000E+000
+1.35000000000E+008, +2.46943407866E+001, +0.00000000000E+000
+1.36000000000E+008, +2.46771472784E+001, +0.00000000000E+000
+1.37000000000E+008, +2.46959416744E+001, +0.00000000000E+000
+1.38000000000E+008, +2.47168846071E+001, +0.00000000000E+000
+1.39000000000E+008, +2.47240886974E+001, +0.00000000000E+000
+1.40000000000E+008, +2.47156563601E+001, +0.00000000000E+000
+1.41000000000E+008, +2.47475101208E+001, +0.00000000000E+000
+1.42000000000E+008, +2.47473919981E+001, +0.00000000000E+000
+1.43000000000E+008, +2.47484144937E+001, +0.00000000000E+000
+1.44000000000E+008, +2.47578951144E+001, +0.00000000000E+000
+1.45000000000E+008, +2.47615680888E+001, +0.00000000000E+000
+1.46000000000E+008, +2.47524675555E+001, +0.00000000000E+000
+1.47000000000E+008, +2.47697985217E+001, +0.00000000000E+000
+1.48000000000E+008, +2.47606594794E+001, +0.00000000000E+000
+1.49000000000E+008, +2.47552655713E+001, +0.00000000000E+000
+1.50000000000E+008, +2.47428728081E+001, +0.00000000000E+000
+1.51000000000E+008, +2.47433424428E+001, +0.00000000000E+000
+1.52000000000E+008, +2.47473618191E+001, +0.00000000000E+000
+1.53000000000E+008, +2.47377449557E+001, +0.00000000000E+000
+1.54000000000E+008, +2.47067639529E+001, +0.00000000000E+000
+1.55000000000E+008, +2.46808209685E+001, +0.00000000000E+000
+1.56000000000E+008, +2.46609158474E+001, +0.00000000000E+000
+1.57000000000E+008, +2.46500915113E+001, +0.00000000000E+000
+1.58000000000E+008, +2.46581747382E+001, +0.00000000000E+000
+1.59000000000E+008, +2.46385184024E+001, +0.00000000000E+000
+1.60000000000E+008, +2.46270092397E+001, +0.00000000000E+000
+1.61000000000E+008, +2.46125403873E+001, +0.00000000000E+000
+1.62000000000E+008, +2.45840605195E+001, +0.00000000000E+000
+1.63000000000E+008, +2.45801566156E+001, +0.00000000000E+000
+1.64000000000E+008, +2.45801739812E+001, +0.00000000000E+000
+1.65000000000E+008, +2.45473883883E+001, +0.00000000000E+000
+1.66000000000E+008, +2.45268658422E+001, +0.00000000000E+000
+1.67000000000E+008, +2.45272511311E+001, +0.00000000000E+000
+1.68000000000E+008, +2.45108681333E+001, +0.00000000000E+000
+1.69000000000E+008, +2.45103840300E+001, +0.00000000000E+000
+1.70000000000E+008, +2.45043013621E+001, +0.00000000000E+000
+1.71000000000E+008, +2.45003470341E+001, +0.00000000000E+000
+1.72000000000E+008, +2.44787581687E+001, +0.00000000000E+000
+1.73000000000E+008, +2.44821258925E+001, +0.00000000000E+000
+1.74000000000E+008, +2.44821418717E+001, +0.00000000000E+000
+1.75000000000E+008, +2.44999457035E+001, +0.00000000000E+000
+1.76000000000E+008, +2.44853418837E+001, +0.00000000000E+000
+1.77000000000E+008, +2.44826399702E+001, +0.00000000000E+000
+1.78000000000E+008, +2.44903962273E+001, +0.00000000000E+000
+1.79000000000E+008, +2.45026925418E+001, +0.00000000000E+000
+1.80000000000E+008, +2.45176392987E+001, +0.00000000000E+000
+1.81000000000E+008, +2.45273913382E+001, +0.00000000000E+000
+1.82000000000E+008, +2.45284414211E+001, +0.00000000000E+000
+1.83000000000E+008, +2.45215941159E+001, +0.00000000000E+000
+1.84000000000E+008, +2.45400851139E+001, +0.00000000000E+000
+1.85000000000E+008, +2.45586699776E+001, +0.00000000000E+000
+1.86000000000E+008, +2.45595778608E+001, +0.00000000000E+000
+1.87000000000E+008, +2.45694796366E+001, +0.00000000000E+000
+1.88000000000E+008, +2.45852050630E+001, +0.00000000000E+000
+1.89000000000E+008, +2.45634935870E+001, +0.00000000000E+000
+1.90000000000E+008, +2.45859361562E+001, +0.00000000000E+000
+1.91000000000E+008, +2.46089937984E+001, +0.00000000000E+000
+1.92000000000E+008, +2.46208970773E+001, +0.00000000000E+000
+1.93000000000E+008, +2.46379589148E+001, +0.00000000000E+000
+1.94000000000E+008, +2.46508048802E+001, +0.00000000000E+000
+1.95000000000E+008, +2.46373889822E+001, +0.00000000000E+000
+1.96000000000E+008, +2.46331580767E+001, +0.00000000000E+000
+1.97000000000E+008, +2.46461410436E+001, +0.00000000000E+000
+1.98000000000E+008, +2.46415955790E+001, +0.00000000000E+000
+1.99000000000E+008, +2.46368570700E+001, +0.00000000000E+000
+2.00000000000E+008, +2.46595077276E+001, +0.00000000000E+000
+2.01000000000E+008, +2.46518085416E+001, +0.00000000000E+000
+2.02000000000E+008, +2.46590713364E+001, +0.00000000000E+000
+2.03000000000E+008, +2.46617565303E+001, +0.00000000000E+000
+2.04000000000E+008, +2.46454652188E+001, +0.00000000000E+000
+2.05000000000E+008, +2.46432419876E+001, +0.00000000000E+000
+2.06000000000E+008, +2.46549614340E+001, +0.00000000000E+000
+2.07000000000E+008, +2.46365756429E+001, +0.00000000000E+000
+2.08000000000E+008, +2.46369223462E+001, +0.00000000000E+000
+2.09000000000E+008, +2.46337492614E+001, +0.00000000000E+000
+2.10000000000E+008, +2.46315444862E+001, +0.00000000000E+000
+2.11000000000E+008, +2.46126084122E+001, +0.00000000000E+000
+2.12000000000E+008, +2.45944104410E+001, +0.00000000000E+000
+2.13000000000E+008, +2.45751579649E+001, +0.00000000000E+000
+2.14000000000E+008, +2.45719698467E+001, +0.00000000000E+000
+2.15000000000E+008, +2.45526208029E+001, +0.00000000000E+000
+2.16000000000E+008, +2.45538118421E+001, +0.00000000000E+000
+2.17000000000E+008, +2.45316108816E+001, +0.00000000000E+000
+2.18000000000E+008, +2.45162645525E+001, +0.00000000000E+000
+2.19000000000E+008, +2.45072568544E+001, +0.00000000000E+000
+2.20000000000E+008, +2.44978880726E+001, +0.00000000000E+000
+2.21000000000E+008, +2.44800451290E+001, +0.00000000000E+000
+2.22000000000E+008, +2.44558314498E+001, +0.00000000000E+000
+2.23000000000E+008, +2.44515357488E+001, +0.00000000000E+000
+2.24000000000E+008, +2.44289946327E+001, +0.00000000000E+000
+2.25000000000E+008, +2.44218381842E+001, +0.00000000000E+000
+2.26000000000E+008, +2.44199983797E+001, +0.00000000000E+000
+2.27000000000E+008, +2.43937122899E+001, +0.00000000000E+000
+2.28000000000E+008, +2.43896370736E+001, +0.00000000000E+000
+2.29000000000E+008, +2.43804057461E+001, +0.00000000000E+000
+2.30000000000E+008, +2.43712852751E+001, +0.00000000000E+000
+2.31000000000E+008, +2.43794710487E+001, +0.00000000000E+000
+2.32000000000E+008, +2.43801583102E+001, +0.00000000000E+000
+2.33000000000E+008, +2.43764851810E+001, +0.00000000000E+000
+2.34000000000E+008, +2.43749277954E+001, +0.00000000000E+000
+2.35000000000E+008, +2.43729071917E+001, +0.00000000000E+000
+2.36000000000E+008, +2.43795335116E+001, +0.00000000000E+000
+2.37000000000E+008, +2.43753601734E+001, +0.00000000000E+000
+2.38000000000E+008, +2.43915433491E+001, +0.00000000000E+000
+2.39000000000E+008, +2.43990342381E+001, +0.00000000000E+000
+2.40000000000E+008, +2.44037552189E+001, +0.00000000000E+000
+2.41000000000E+008, +2.44108246125E+001, +0.00000000000E+000
+2.42000000000E+008, +2.44403896760E+001, +0.00000000000E+000
+2.43000000000E+008, +2.44499679143E+001, +0.00000000000E+000
+2.44000000000E+008, +2.44769593104E+001, +0.00000000000E+000
+2.45000000000E+008, +2.44938354785E+001, +0.00000000000E+000
+2.46000000000E+008, +2.44862412888E+001, +0.00000000000E+000
+2.47000000000E+008, +2.45026386081E+001, +0.00000000000E+000
+2.48000000000E+008, +2.44986480176E+001, +0.00000000000E+000
+2.49000000000E+008, +2.45250031498E+001, +0.00000000000E+000
+2.50000000000E+008, +2.45337216773E+001, +0.00000000000E+000
+2.51000000000E+008, +2.45551301231E+001, +0.00000000000E+000
+2.52000000000E+008, +2.45667486608E+001, +0.00000000000E+000
+2.53000000000E+008, +2.45473865318E+001, +0.00000000000E+000
+2.54000000000E+008, +2.45618847908E+001, +0.00000000000E+000
+2.55000000000E+008, +2.45599910729E+001, +0.00000000000E+000
+2.56000000000E+008, +2.45693004769E+001, +0.00000000000E+000
+2.57000000000E+008, +2.45707716701E+001, +0.00000000000E+000
+2.58000000000E+008, +2.45785486790E+001, +0.00000000000E+000
+2.59000000000E+008, +2.45923134210E+001, +0.00000000000E+000
+2.60000000000E+008, +2.45812667081E+001, +0.00000000000E+000
+2.61000000000E+008, +2.45785425932E+001, +0.00000000000E+000
+2.62000000000E+008, +2.45584289946E+001, +0.00000000000E+000
+2.63000000000E+008, +2.45727638776E+001, +0.00000000000E+000
+2.64000000000E+008, +2.45781572567E+001, +0.00000000000E+000
+2.65000000000E+008, +2.45739400888E+001, +0.00000000000E+000
+2.66000000000E+008, +2.45719979319E+001, +0.00000000000E+000
+2.67000000000E+008, +2.45631162919E+001, +0.00000000000E+000
+2.68000000000E+008, +2.45465973084E+001, +0.00000000000E+000
+2.69000000000E+008, +2.45536043160E+001, +0.00000000000E+000
+2.70000000000E+008, +2.45533855998E+001, +0.00000000000E+000
+2.71000000000E+008, +2.45380628286E+001, +0.00000000000E+000
+2.72000000000E+008, +2.45123864396E+001, +0.00000000000E+000
+2.73000000000E+008, +2.45474730275E+001, +0.00000000000E+000
+2.74000000000E+008, +2.45119064343E+001, +0.00000000000E+000
+2.75000000000E+008, +2.44864693268E+001, +0.00000000000E+000
+2.76000000000E+008, +2.44726338378E+001, +0.00000000000E+000
+2.77000000000E+008, +2.44625646712E+001, +0.00000000000E+000
+2.78000000000E+008, +2.44451713389E+001, +0.00000000000E+000
+2.79000000000E+008, +2.44374564510E+001, +0.00000000000E+000
+2.80000000000E+008, +2.44430361031E+001, +0.00000000000E+000
+2.81000000000E+008, +2.44170857058E+001, +0.00000000000E+000
+2.82000000000E+008, +2.43817864873E+001, +0.00000000000E+000
+2.83000000000E+008, +2.43757045122E+001, +0.00000000000E+000
+2.84000000000E+008, +2.43617829274E+001, +0.00000000000E+000
+2.85000000000E+008, +2.43635235023E+001, +0.00000000000E+000
+2.86000000000E+008, +2.43395019725E+001, +0.00000000000E+000
+2.87000000000E+008, +2.43357643546E+001, +0.00000000000E+000
+2.88000000000E+008, +2.43253808854E+001, +0.00000000000E+000
+2.89000000000E+008, +2.43435093269E+001, +0.00000000000E+000
+2.90000000000E+008, +2.43300459302E+001, +0.00000000000E+000
+2.91000000000E+008, +2.43336688899E+001, +0.00000000000E+000
+2.92000000000E+008, +2.43228406362E+001, +0.00000000000E+000
+2.93000000000E+008, +2.43208316242E+001, +0.00000000000E+000
+2.94000000000E+008, +2.43361206281E+001, +0.00000000000E+000
+2.95000000000E+008, +2.43258798503E+001, +0.00000000000E+000
+2.96000000000E+008, +2.43189387152E+001, +0.00000000000E+000
+2.97000000000E+008, +2.43325919060E+001, +0.00000000000E+000
+2.98000000000E+008, +2.43073547913E+001, +0.00000000000E+000
+2.99000000000E+008, +2.43284435435E+001, +0.00000000000E+000
+3.00000000000E+008, +2.43247969103E+001, +0.00000000000E+000
+3.01000000000E+008, +2.43354888730E+001, +0.00000000000E+000
+3.02000000000E+008, +2.43545782786E+001, +0.00000000000E+000
+3.03000000000E+008, +2.43566309161E+001, +0.00000000000E+000
+3.04000000000E+008, +2.43406496136E+001, +0.00000000000E+000
+3.05000000000E+008, +2.43513086597E+001, +0.00000000000E+000
+3.06000000000E+008, +2.43723747648E+001, +0.00000000000E+000
+3.07000000000E+008, +2.43725096205E+001, +0.00000000000E+000
+3.08000000000E+008, +2.43630627899E+001, +0.00000000000E+000
+3.09000000000E+008, +2.43733758631E+001, +0.00000000000E+000
+3.10000000000E+008, +2.43879858599E+001, +0.00000000000E+000
+3.11000000000E+008, +2.43996151650E+001, +0.00000000000E+000
+3.12000000000E+008, +2.44045475769E+001, +0.00000000000E+000
+3.13000000000E+008, +2.43997373671E+001, +0.00000000000E+000
+3.14000000000E+008, +2.44139786335E+001, +0.00000000000E+000
+3.15000000000E+008, +2.44036673366E+001, +0.00000000000E+000
+3.16000000000E+008, +2.44431852452E+001, +0.00000000000E+000
+3.17000000000E+008, +2.44446140218E+001, +0.00000000000E+000
+3.18000000000E+008, +2.44430074020E+001, +0.00000000000E+000
+3.19000000000E+008, +2.44552125219E+001, +0.00000000000E+000
+3.20000000000E+008, +2.44536857233E+001, +0.00000000000E+000
+3.21000000000E+008, +2.44548254940E+001, +0.00000000000E+000
+3.22000000000E+008, +2.44729864603E+001, +0.00000000000E+000
+3.23000000000E+008, +2.44677334981E+001, +0.00000000000E+000
+3.24000000000E+008, +2.44527344723E+001, +0.00000000000E+000
+3.25000000000E+008, +2.44578755095E+001, +0.00000000000E+000
+3.26000000000E+008, +2.44603204698E+001, +0.00000000000E+000
+3.27000000000E+008, +2.44774648099E+001, +0.00000000000E+000
+3.28000000000E+008, +2.44670772769E+001, +0.00000000000E+000
+3.29000000000E+008, +2.44743197058E+001, +0.00000000000E+000
+3.30000000000E+008, +2.44666174759E+001, +0.00000000000E+000
+3.31000000000E+008, +2.44647753493E+001, +0.00000000000E+000
+3.32000000000E+008, +2.44636601659E+001, +0.00000000000E+000
