"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.48253224965E+001, +0.00000000000E+000
+2.00000000000E+006, +2.47830568680E+001, +0.00000000000E+000
+3.00000000000E+006, +2.47838983709E+001, +0.00000000000E+000
+4.00000000000E+006, +2.47832376832E+001, +0.00000000000E+000
+5.00000000000E+006, +2.47644847506E+001, +0.00000000000E+000
+6.00000000000E+006, +2.47910955510E+001, +0.00000000000E+000
+7.00000000000E+006, +2.48278231523E+001, +0.00000000000E+000
+8.00000000000E+006, +2.48268974113E+001, +0.00000000000E+000
+9.00000000000E+006, +2.47923332196E+001, +0.00000000000E+000
+1.00000000000E+007, +2.48450566052E+001, +0.00000000000E+000
+1.10000000000E+007, +2.48471071177E+001, +0.00000000000E+000
+1.20000000000E+007, +2.48150229003E+001, +0.00000000000E+000
+1.30000000000E+007, +2.48742202944E+001, +0.00000000000E+000
+1.40000000000E+007, +2.48645668610E+001, +0.00000000000E+000
+1.50000000000E+007, +2.48192471662E+001, +0.00000000000E+000
+1.60000000000E+007, +2.48656662861E+001, +0.00000000000E+000
+1.70000000000E+007, +2.48378042923E+001, +0.00000000000E+000
+1.80000000000E+007, +2.47900509611E+001, +0.00000000000E+000
+1.90000000000E+007, +2.48501704618E+001, +0.00000000000E+000
+2.00000000000E+007, +2.48336722570E+001, +0.00000000000E+000
+2.10000000000E+007, +2.47954629053E+001, +0.00000000000E+000
+2.20000000000E+007, +2.48629024527E+001, +0.00000000000E+000
+2.30000000000E+007, +2.48643115180E+001, +0.00000000000E+000
+2.40000000000E+007, +2.48889550988E+001, +0.00000000000E+000
+2.50000000000E+007, +2.49008085291E+001, +0.00000000000E+000
+2.60000000000E+007, +2.48817624738E+001, +0.00000000000E+000
+2.70000000000E+007, +2.49068070932E+001, +0.00000000000E+000
+2.80000000000E+007, +2.49031660611E+001, +0.00000000000E+000
+2.90000000000E+007, +2.48836967458E+001, +0.00000000000E+000
+3.00000000000E+007, +2.48830251647E+001, +0.00000000000E+000
+3.10000000000E+007, +2.48669394638E+001, +0.00000000000E+000
+3.20000000000E+007, +2.48274245595E+001, +0.00000000000E+000
+3.30000000000E+007, +2.48235933349E+001, +0.00000000000E+000
+3.40000000000E+007, +2.47990491378E+001, +0.00000000000E+000
+3.50000000000E+007, +2.48125447835E+001, +0.00000000000E+000
+3.60000000000E+007, +2.48083831566E+001, +0.00000000000E+000
+3.70000000000E+007, +2.47951381027E+001, +0.00000000000E+000
+3.80000000000E+007, +2.48006700581E+001, +0.00000000000E+000
+3.90000000000E+007, +2.47895929780E+001, +0.00000000000E+000
+4.00000000000E+007, +2.47764106774E+001, +0.00000000000E+000
+4.10000000000E+007, +2.47723038130E+001, +0.00000000000E+000
+4.20000000000E+007, +2.47552090390E+001, +0.00000000000E+000
+4.30000000000E+007, +2.47493249797E+001, +0.00000000000E+000
+4.40000000000E+007, +2.47399173493E+001, +0.00000000000E+000
+4.50000000000E+007, +2.47319043502E+001, +0.00000000000E+000
+4.60000000000E+007, +2.47297689031E+001, +0.00000000000E+000
+4.70000000000E+007, +2.47367981536E+001, +0.00000000000E+000
+4.80000000000E+007, +2.46953179134E+001, +0.00000000000E+000
+4.90000000000E+007, +2.47129968512E+001, +0.00000000000E+000
+5.00000000000E+007, +2.47043965542E+001, +0.00000000000E+000
+5.10000000000E+007, +2.46946584481E+001, +0.00000000000E+000
+5.20000000000E+007, +2.46771425993E+001, +0.00000000000E+000
+5.30000000000E+007, +2.46880004380E+001, +0.00000000000E+000
+5.40000000000E+007, +2.46878478149E+001, +0.00000000000E+000
+5.50000000000E+007, +2.47055006688E+001, +0.00000000000E+000
+5.60000000000E+007, +2.46879647819E+001, +0.00000000000E+000
+5.70000000000E+007, +2.46912524278E+001, +0.00000000000E+000
+5.80000000000E+007, +2.46860748632E+001, +0.00000000000E+000
+5.90000000000E+007, +2.47007203830E+001, +0.00000000000E+000
+6.00000000000E+007, +2.46954509791E+001, +0.00000000000E+000
+6.10000000000E+007, +2.46863160464E+001, +0.00000000000E+000
+6.20000000000E+007, +2.46920745618E+001, +0.00000000000E+000
+6.30000000000E+007, +2.47093124454E+001, +0.00000000000E+000
+6.40000000000E+007, +2.46930480995E+001, +0.00000000000E+000
+6.50000000000E+007, +2.46928951019E+001, +0.00000000000E+000
+6.60000000000E+007, +2.46965720197E+001, +0.00000000000E+000
+6.70000000000E+007, +2.47019555831E+001, +0.00000000000E+000
+6.80000000000E+007, +2.47148139042E+001, +0.00000000000E+000
+6.90000000000E+007, +2.46425749816E+001, +0.00000000000E+000
+7.00000000000E+007, +2.46410403062E+001, +0.00000000000E+000
+7.10000000000E+007, +2.46430347472E+001, +0.00000000000E+000
+7.20000000000E+007, +2.46501880718E+001, +0.00000000000E+000
+7.30000000000E+007, +2.46390430120E+001, +0.00000000000E+000
+7.40000000000E+007, +2.46369017379E+001, +0.00000000000E+000
+7.50000000000E+007, +2.46401659944E+001, +0.00000000000E+000
+7.60000000000E+007, +2.46355074461E+001, +0.00000000000E+000
+7.70000000000E+007, +2.46326306939E+001, +0.00000000000E+000
+7.80000000000E+007, +2.46376025204E+001, +0.00000000000E+000
+7.90000000000E+007, +2.46470746206E+001, +0.00000000000E+000
+8.00000000000E+007, +2.46501141851E+001, +0.00000000000E+000
+8.10000000000E+007, +2.46474816995E+001, +0.00000000000E+000
+8.20000000000E+007, +2.46614059904E+001, +0.00000000000E+000
+8.30000000000E+007, +2.46483587140E+001, +0.00000000000E+000
+8.40000000000E+007, +2.46270003043E+001, +0.00000000000E+000
+8.50000000000E+007, +2.46386803827E+001, +0.00000000000E+000
+8.60000000000E+007, +2.46426869635E+001, +0.00000000000E+000
+8.70000000000E+007, +2.46567165328E+001, +0.00000000000E+000
+8.80000000000E+007, +2.46521400881E+001, +0.00000000000E+000
+8.90000000000E+007, +2.46521801784E+001, +0.00000000000E+000
+9.00000000000E+007, +2.46646574486E+001, +0.00000000000E+000
+9.10000000000E+007, +2.46645663563E+001, +0.00000000000E+000
+9.20000000000E+007, +2.46473473093E+001, +0.00000000000E+000
+9.30000000000E+007, +2.46558323718E+001, +0.00000000000E+000
+9.40000000000E+007, +2.46531026326E+001, +0.00000000000E+000
+9.50000000000E+007, +2.46601140739E+001, +0.00000000000E+000
+9.60000000000E+007, +2.46717761345E+001, +0.00000000000E+000
+9.70000000000E+007, +2.46631680252E+001, +0.00000000000E+000
+9.80000000000E+007, +2.46463274754E+001, +0.00000000000E+000
+9.90000000000E+007, +2.46557005197E+001, +0.00000000000E+000
+1.00000000000E+008, +2.46507158714E+001, +0.00000000000E+000
