"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +2.48126841428E+001, +0.00000000000E+000
+1.10000000000E+005, +2.48213050834E+001, +0.00000000000E+000
+1.20000000000E+005, +2.48485726943E+001, +0.00000000000E+000
+1.30000000000E+005, +2.48476038422E+001, +0.00000000000E+000
+1.40000000000E+005, +2.48559721854E+001, +0.00000000000E+000
+1.50000000000E+005, +2.48473079701E+001, +0.00000000000E+000
+1.60000000000E+005, +2.48677241307E+001, +0.00000000000E+000
+1.70000000000E+005, +2.48841822869E+001, +0.00000000000E+000
+1.80000000000E+005, +2.48697301912E+001, +0.00000000000E+000
+1.90000000000E+005, +2.48490730806E+001, +0.00000000000E+000
+2.00000000000E+005, +2.48714832436E+001, +0.00000000000E+000
+2.10000000000E+005, +2.48592086891E+001, +0.00000000000E+000
+2.20000000000E+005, +2.48475905974E+001, +0.00000000000E+000
+2.30000000000E+005, +2.48510509143E+001, +0.00000000000E+000
+2.40000000000E+005, +2.48289670505E+001, +0.00000000000E+000
+2.50000000000E+005, +2.48361898687E+001, +0.00000000000E+000
+2.60000000000E+005, +2.48532598308E+001, +0.00000000000E+000
+2.70000000000E+005, +2.48254541227E+001, +0.00000000000E+000
+2.80000000000E+005, +2.48025142654E+001, +0.00000000000E+000
+2.90000000000E+005, +2.48023200643E+001, +0.00000000000E+000
+3.00000000000E+005, +2.48134754081E+001, +0.00000000000E+000
+3.10000000000E+005, +2.48082926386E+001, +0.00000000000E+000
+3.20000000000E+005, +2.47821964167E+001, +0.00000000000E+000
+3.30000000000E+005, +2.48255817114E+001, +0.00000000000E+000
+3.40000000000E+005, +2.47957512005E+001, +0.00000000000E+000
+3.50000000000E+005, +2.47974041821E+001, +0.00000000000E+000
+3.60000000000E+005, +2.47878145094E+001, +0.00000000000E+000
+3.70000000000E+005, +2.48203495806E+001, +0.00000000000E+000
+3.80000000000E+005, +2.48028661227E+001, +0.00000000000E+000
+3.90000000000E+005, +2.48051180250E+001, +0.00000000000E+000
