"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +2.49227752717E+001, +0.00000000000E+000
+1.10000000000E+005, +2.49619180369E+001, +0.00000000000E+000
+1.20000000000E+005, +2.49885336317E+001, +0.00000000000E+000
+1.30000000000E+005, +2.49804850974E+001, +0.00000000000E+000
+1.40000000000E+005, +2.50023912474E+001, +0.00000000000E+000
+1.50000000000E+005, +2.49722877275E+001, +0.00000000000E+000
+1.60000000000E+005, +2.49840478764E+001, +0.00000000000E+000
+1.70000000000E+005, +2.49954941696E+001, +0.00000000000E+000
+1.80000000000E+005, +2.49783319969E+001, +0.00000000000E+000
+1.90000000000E+005, +2.49788596350E+001, +0.00000000000E+000
+2.00000000000E+005, +2.49873189056E+001, +0.00000000000E+000
+2.10000000000E+005, +2.49638855151E+001, +0.00000000000E+000
+2.20000000000E+005, +2.49802966158E+001, +0.00000000000E+000
+2.30000000000E+005, +2.49518872796E+001, +0.00000000000E+000
+2.40000000000E+005, +2.49538713895E+001, +0.00000000000E+000
+2.50000000000E+005, +2.49678863255E+001, +0.00000000000E+000
+2.60000000000E+005, +2.49437117160E+001, +0.00000000000E+000
+2.70000000000E+005, +2.49590687589E+001, +0.00000000000E+000
+2.80000000000E+005, +2.49447308185E+001, +0.00000000000E+000
+2.90000000000E+005, +2.49275666318E+001, +0.00000000000E+000
+3.00000000000E+005, +2.49353230870E+001, +0.00000000000E+000
+3.10000000000E+005, +2.49160697902E+001, +0.00000000000E+000
+3.20000000000E+005, +2.49227243216E+001, +0.00000000000E+000
+3.30000000000E+005, +2.49359805682E+001, +0.00000000000E+000
+3.40000000000E+005, +2.49080373043E+001, +0.00000000000E+000
+3.50000000000E+005, +2.49061881176E+001, +0.00000000000E+000
+3.60000000000E+005, +2.49108991938E+001, +0.00000000000E+000
+3.70000000000E+005, +2.49163439717E+001, +0.00000000000E+000
+3.80000000000E+005, +2.48971242241E+001, +0.00000000000E+000
+3.90000000000E+005, +2.49160889414E+001, +0.00000000000E+000
+4.00000000000E+005, +2.49311695920E+001, +0.00000000000E+000
+4.10000000000E+005, +2.49143152011E+001, +0.00000000000E+000
+4.20000000000E+005, +2.49380952010E+001, +0.00000000000E+000
+4.30000000000E+005, +2.49103874768E+001, +0.00000000000E+000
+4.40000000000E+005, +2.49117319616E+001, +0.00000000000E+000
+4.50000000000E+005, +2.49057962535E+001, +0.00000000000E+000
+4.60000000000E+005, +2.48950871419E+001, +0.00000000000E+000
+4.70000000000E+005, +2.49055733616E+001, +0.00000000000E+000
+4.80000000000E+005, +2.48780468162E+001, +0.00000000000E+000
+4.90000000000E+005, +2.48992250864E+001, +0.00000000000E+000
+5.00000000000E+005, +2.48637288882E+001, +0.00000000000E+000
+5.10000000000E+005, +2.48708944420E+001, +0.00000000000E+000
+5.20000000000E+005, +2.48899827233E+001, +0.00000000000E+000
+5.30000000000E+005, +2.48320204673E+001, +0.00000000000E+000
+5.40000000000E+005, +2.48822510725E+001, +0.00000000000E+000
+5.50000000000E+005, +2.48902927496E+001, +0.00000000000E+000
+5.60000000000E+005, +2.48711051497E+001, +0.00000000000E+000
+5.70000000000E+005, +2.48784177890E+001, +0.00000000000E+000
+5.80000000000E+005, +2.48742792441E+001, +0.00000000000E+000
+5.90000000000E+005, +2.48910883847E+001, +0.00000000000E+000
+6.00000000000E+005, +2.48538831179E+001, +0.00000000000E+000
+6.10000000000E+005, +2.48567255450E+001, +0.00000000000E+000
+6.20000000000E+005, +2.48722001629E+001, +0.00000000000E+000
+6.30000000000E+005, +2.48567995043E+001, +0.00000000000E+000
+6.40000000000E+005, +2.48496931287E+001, +0.00000000000E+000
+6.50000000000E+005, +2.48533268664E+001, +0.00000000000E+000
+6.60000000000E+005, +2.48249858571E+001, +0.00000000000E+000
+6.70000000000E+005, +2.48829293706E+001, +0.00000000000E+000
+6.80000000000E+005, +2.48422536269E+001, +0.00000000000E+000
+6.90000000000E+005, +2.48516205046E+001, +0.00000000000E+000
+7.00000000000E+005, +2.48491086654E+001, +0.00000000000E+000
+7.10000000000E+005, +2.48364873043E+001, +0.00000000000E+000
+7.20000000000E+005, +2.48662711723E+001, +0.00000000000E+000
+7.30000000000E+005, +2.48477670249E+001, +0.00000000000E+000
+7.40000000000E+005, +2.48524876665E+001, +0.00000000000E+000
+7.50000000000E+005, +2.48453636510E+001, +0.00000000000E+000
+7.60000000000E+005, +2.48497097192E+001, +0.00000000000E+000
+7.70000000000E+005, +2.48523833801E+001, +0.00000000000E+000
+7.80000000000E+005, +2.48568178841E+001, +0.00000000000E+000
+7.90000000000E+005, +2.48281861993E+001, +0.00000000000E+000
+8.00000000000E+005, +2.48326056760E+001, +0.00000000000E+000
+8.10000000000E+005, +2.48278360771E+001, +0.00000000000E+000
+8.20000000000E+005, +2.48409957256E+001, +0.00000000000E+000
+8.30000000000E+005, +2.48480635625E+001, +0.00000000000E+000
+8.40000000000E+005, +2.48481439050E+001, +0.00000000000E+000
+8.50000000000E+005, +2.48583561537E+001, +0.00000000000E+000
+8.60000000000E+005, +2.48352646751E+001, +0.00000000000E+000
+8.70000000000E+005, +2.48373231422E+001, +0.00000000000E+000
+8.80000000000E+005, +2.48169135068E+001, +0.00000000000E+000
+8.90000000000E+005, +2.48409953891E+001, +0.00000000000E+000
+9.00000000000E+005, +2.48360090601E+001, +0.00000000000E+000
+9.10000000000E+005, +2.48555068831E+001, +0.00000000000E+000
+9.20000000000E+005, +2.48226971346E+001, +0.00000000000E+000
+9.30000000000E+005, +2.48449043115E+001, +0.00000000000E+000
+9.40000000000E+005, +2.47999169550E+001, +0.00000000000E+000
+9.50000000000E+005, +2.48163554458E+001, +0.00000000000E+000
+9.60000000000E+005, +2.48106326034E+001, +0.00000000000E+000
+9.70000000000E+005, +2.48247005953E+001, +0.00000000000E+000
+9.80000000000E+005, +2.48258288149E+001, +0.00000000000E+000
