"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +2.48972348983E+001, +0.00000000000E+000
+1.10000000000E+005, +2.49176974371E+001, +0.00000000000E+000
+1.20000000000E+005, +2.49421241056E+001, +0.00000000000E+000
+1.30000000000E+005, +2.49565832096E+001, +0.00000000000E+000
+1.40000000000E+005, +2.49438913019E+001, +0.00000000000E+000
+1.50000000000E+005, +2.49448604361E+001, +0.00000000000E+000
+1.60000000000E+005, +2.49476397572E+001, +0.00000000000E+000
+1.70000000000E+005, +2.49626395430E+001, +0.00000000000E+000
+1.80000000000E+005, +2.49428870940E+001, +0.00000000000E+000
+1.90000000000E+005, +2.49399998952E+001, +0.00000000000E+000
+2.00000000000E+005, +2.49411147681E+001, +0.00000000000E+000
+2.10000000000E+005, +2.49252964160E+001, +0.00000000000E+000
+2.20000000000E+005, +2.49281083473E+001, +0.00000000000E+000
+2.30000000000E+005, +2.49272804330E+001, +0.00000000000E+000
+2.40000000000E+005, +2.49359172388E+001, +0.00000000000E+000
+2.50000000000E+005, +2.49283360815E+001, +0.00000000000E+000
+2.60000000000E+005, +2.49181460768E+001, +0.00000000000E+000
+2.70000000000E+005, +2.49006305858E+001, +0.00000000000E+000
+2.80000000000E+005, +2.48931126848E+001, +0.00000000000E+000
+2.90000000000E+005, +2.48852547119E+001, +0.00000000000E+000
+3.00000000000E+005, +2.49026513415E+001, +0.00000000000E+000
+3.10000000000E+005, +2.48859377497E+001, +0.00000000000E+000
+3.20000000000E+005, +2.48945531699E+001, +0.00000000000E+000
+3.30000000000E+005, +2.48787831808E+001, +0.00000000000E+000
+3.40000000000E+005, +2.48886507224E+001, +0.00000000000E+000
+3.50000000000E+005, +2.48800509826E+001, +0.00000000000E+000
+3.60000000000E+005, +2.48631611072E+001, +0.00000000000E+000
+3.70000000000E+005, +2.48946000509E+001, +0.00000000000E+000
+3.80000000000E+005, +2.48780254240E+001, +0.00000000000E+000
+3.90000000000E+005, +2.48936853273E+001, +0.00000000000E+000
+4.00000000000E+005, +2.48746700191E+001, +0.00000000000E+000
+4.10000000000E+005, +2.48907621907E+001, +0.00000000000E+000
+4.20000000000E+005, +2.48972337695E+001, +0.00000000000E+000
+4.30000000000E+005, +2.48717126156E+001, +0.00000000000E+000
+4.40000000000E+005, +2.48856225377E+001, +0.00000000000E+000
+4.50000000000E+005, +2.48632710701E+001, +0.00000000000E+000
+4.60000000000E+005, +2.48683679644E+001, +0.00000000000E+000
+4.70000000000E+005, +2.48611823303E+001, +0.00000000000E+000
+4.80000000000E+005, +2.48554369437E+001, +0.00000000000E+000
+4.90000000000E+005, +2.48648891243E+001, +0.00000000000E+000
+5.00000000000E+005, +2.48462566303E+001, +0.00000000000E+000
+5.10000000000E+005, +2.48467337226E+001, +0.00000000000E+000
+5.20000000000E+005, +2.48307272939E+001, +0.00000000000E+000
+5.30000000000E+005, +2.48040912261E+001, +0.00000000000E+000
+5.40000000000E+005, +2.48432591178E+001, +0.00000000000E+000
+5.50000000000E+005, +2.48307298478E+001, +0.00000000000E+000
+5.60000000000E+005, +2.48098503434E+001, +0.00000000000E+000
+5.70000000000E+005, +2.48320672257E+001, +0.00000000000E+000
+5.80000000000E+005, +2.48084612199E+001, +0.00000000000E+000
+5.90000000000E+005, +2.48516553591E+001, +0.00000000000E+000
+6.00000000000E+005, +2.48198432279E+001, +0.00000000000E+000
+6.10000000000E+005, +2.48234913951E+001, +0.00000000000E+000
+6.20000000000E+005, +2.48334736352E+001, +0.00000000000E+000
+6.30000000000E+005, +2.48172271056E+001, +0.00000000000E+000
+6.40000000000E+005, +2.48161520327E+001, +0.00000000000E+000
+6.50000000000E+005, +2.48027157231E+001, +0.00000000000E+000
+6.60000000000E+005, +2.47955899246E+001, +0.00000000000E+000
+6.70000000000E+005, +2.48416258360E+001, +0.00000000000E+000
+6.80000000000E+005, +2.48047488924E+001, +0.00000000000E+000
+6.90000000000E+005, +2.48094391308E+001, +0.00000000000E+000
+7.00000000000E+005, +2.48121890980E+001, +0.00000000000E+000
+7.10000000000E+005, +2.48078769722E+001, +0.00000000000E+000
+7.20000000000E+005, +2.48225005724E+001, +0.00000000000E+000
